"","temperatura","fechas"
"457",14.7,2021-04-01
"458",15.9,2021-04-02
"459",16.2,2021-04-03
"460",17.7,2021-04-04
"461",19.3,2021-04-05
"462",15.2,2021-04-06
"463",13.8,2021-04-07
"464",11.5,2021-04-08
"465",13.8,2021-04-09
"466",13,2021-04-10
"467",12.5,2021-04-11
"468",13.3,2021-04-12
"469",16,2021-04-13
"470",13.9,2021-04-14
"471",13.9,2021-04-15
"472",12.5,2021-04-16
"473",13.5,2021-04-17
"474",16.1,2021-04-18
"475",16,2021-04-19
"476",15.3,2021-04-20
"477",13.8,2021-04-21
"478",14.1,2021-04-22
"479",13.4,2021-04-23
"480",11.9,2021-04-24
"481",15.1,2021-04-25
"482",15.1,2021-04-26
"483",14.8,2021-04-27
"484",13.4,2021-04-28
"485",0,2021-04-29
"486",13.9,2021-04-30
"487",14.9,2021-05-01
"488",14.4,2021-05-02
"489",17.3,2021-05-03
"490",20.3,2021-05-04
"491",21.6,2021-05-05
"492",22.7,2021-05-06
"493",22.9,2021-05-07
"494",16.9,2021-05-08
"495",13.2,2021-05-09
"496",13.2,2021-05-10
"497",15.4,2021-05-11
"498",15.8,2021-05-12
"499",18.4,2021-05-13
"500",20.6,2021-05-14
"501",21.2,2021-05-15
"502",21,2021-05-16
"503",22.4,2021-05-17
"504",20.9,2021-05-18
"505",22.3,2021-05-19
"506",23.8,2021-05-20
"507",19.1,2021-05-21
"508",16.2,2021-05-22
"509",17.7,2021-05-23
"510",20.4,2021-05-24
"511",21.4,2021-05-25
"512",22.7,2021-05-26
"513",22.3,2021-05-27
"514",24.9,2021-05-28
"515",25.6,2021-05-29
"516",24.8,2021-05-30
"517",21.2,2021-05-31
"518",21.2,2021-06-01
"519",23.5,2021-06-02
"520",24,2021-06-03
"521",19.2,2021-06-04
"522",22.4,2021-06-05
"523",25.8,2021-06-06
"524",27.7,2021-06-07
"525",28.7,2021-06-08
"526",28.3,2021-06-09
"527",26.8,2021-06-10
"528",24.9,2021-06-11
"529",26.5,2021-06-12
"530",28.3,2021-06-13
"531",27.8,2021-06-14
"532",25.9,2021-06-15
"533",18.8,2021-06-16
"534",20,2021-06-17
"535",20.2,2021-06-18
"536",17.7,2021-06-19
"537",18.2,2021-06-20
"538",18.3,2021-06-21
"539",20.3,2021-06-22
"540",22.2,2021-06-23
"541",25.3,2021-06-24
"542",27.1,2021-06-25
"543",24.9,2021-06-26
"544",24.8,2021-06-27
"545",26.3,2021-06-28
"546",0,2021-06-29
"547",27.5,2021-06-30
"548",28.4,2021-07-01
"549",27.4,2021-07-02
"550",26.7,2021-07-03
"551",27.7,2021-07-04
